model_id,objective,alpha,epsilon,layer,relative_change_mean,relative_change_median,relative_change_p05,relative_change_p95,relative_change_max,relative_change_min,relative_change_n,cumulative_condition_mean,cumulative_condition_median,cumulative_condition_p05,cumulative_condition_p95,cumulative_condition_max,cumulative_condition_min,cumulative_condition_n,incremental_condition_mean,incremental_condition_median,incremental_condition_p05,incremental_condition_p95,incremental_condition_max,incremental_condition_min,incremental_condition_n
hard_a0.05,hard_teacher_ce,0.05,0.001,20,0.0001310438760810939,0.00011829317372757941,8.525984812877141e-05,0.00021793253836221993,0.00032761323382146657,8.129506750265136e-05,32,0.13104387112557542,0.11829316809252205,0.08525984407914611,0.21793251645890524,0.3276132182606737,0.08129506364134303,32,1.1035242325432404,1.1171917239191658,1.0204576004199917,1.1653667340215148,1.1694583692378708,0.9875740678028555,32.0
hard_a0.05,hard_teacher_ce,0.05,0.001,21,0.0001409787321335898,0.0001315635599894449,9.730233250593301e-05,0.000221766149479663,0.0003199678030796349,9.090640378417447e-05,32,0.1409787268283669,0.13156353842450047,0.09730232788432043,0.22176612476768714,0.3199677878819805,0.09090639946635219,32,1.0882140870219978,1.1001437676603523,1.0129115992699769,1.1407636363628475,1.1467076721145133,0.9766632420410769,32.0
hard_a0.05,hard_teacher_ce,0.05,0.001,22,0.00014734261685589445,0.00014250710228225216,0.00010416178483865223,0.0002222668241302017,0.0003073940461035818,9.695027983980253e-05,32,0.14734261130309237,0.14250707892352166,0.10416177989123317,0.22226679939684335,0.30739403150314876,0.09695027523491155,32,1.052926306777963,1.061635038194518,1.0009004485527269,1.088421661005188,1.096988598927586,0.9607030555729893,32.0
hard_a0.05,hard_teacher_ce,0.05,0.001,23,0.00015098283347469987,0.000147404229210224,0.0001075057778507471,0.00022003464691806583,0.0002915116783697158,9.953180415323004e-05,32,0.15098282779603073,0.14740422220889915,0.10750577274449691,0.22003462254708156,0.29151166452365473,0.09953179942572324,32,1.029377051420964,1.0335683523268309,0.9832424676419533,1.0628601882493411,1.0663382785973277,0.9483322206946255,32.0
hard_a0.05,hard_teacher_ce,0.05,0.001,24,0.000153985007045776,0.00014708337403135374,0.00010954388308164198,0.00021687933185603469,0.0002746513346210122,0.00010210197069682181,32,0.1539850012611035,0.1470833670452687,0.10954387787858698,0.21687930789152832,0.27465132157577443,0.10210196584723866,32,1.0242516868754257,1.028623047390605,0.9844492615669419,1.0554927563950127,1.0582436956035164,0.9421623729004773,32.0
hard_a0.05,hard_teacher_ce,0.05,0.001,25,0.00015087708379724063,0.0001411302073393017,0.00010704303822421935,0.0002084866377117578,0.0002528383338358253,0.00010048946569440886,32,0.1508770781270376,0.14113020872077778,0.10704303313994809,0.20848661464738896,0.25283832182664945,0.10048946092141559,32,0.9821219782182602,0.985316198722458,0.9545699244427995,1.0057961243449967,1.017161898327556,0.9205793016979642,32.0
hard_a0.05,hard_teacher_ce,0.05,0.001,26,0.00014417425336432643,0.00013405281060840935,0.00010228690443909727,0.00019450285035418346,0.00022818266006652266,9.690249862615019e-05,32,0.14417424797363754,0.13405281200051963,0.10228689958073024,0.19450282884584705,0.22818264922842837,0.0969024940235287,32,0.9576678556609706,0.9610751665556916,0.9322595724315466,0.9777641661472146,0.9806626068975499,0.9024844318689734,32.0
hard_a0.05,hard_teacher_ce,0.05,0.001,27,0.00013786483646072156,0.0001267403204110451,9.416038446943275e-05,0.00018621792551130057,0.00021062084124423563,8.849034202285111e-05,32,0.1378648312910319,0.1267403217281824,0.09416037999705469,0.18621791666642415,0.21062083124028297,0.0884903378197856,32,0.9542356789172204,0.9506674243022274,0.9208355015032943,0.994138204258997,1.001552213598724,0.9131894768188261,32.0
hard_a0.05,hard_teacher_ce,0.05,0.001,28,0.0002600147067823855,0.00024630070402054116,0.00019466163794277236,0.00033633111452218144,0.00038015327299945056,0.00018230159184895456,32,0.26001469713234715,0.24630072099506237,0.19466162869684112,0.3363311163392794,0.38015325494313984,0.18230158319009399,32,1.909509464934353,1.9499349585751156,1.661193507778278,2.0897556011840694,2.115182607776967,1.32275980371091,32.0
hard_a0.05,hard_teacher_ce,0.05,0.003,0,0.0030000000406289473,0.003000000026077032,0.0029999997932463884,0.0030000002589076757,0.0030000004917383194,0.0029999997932463884,32,1.0,1.0,1.0,1.0,1.0,1.0,32,,,,,,,
hard_a0.05,hard_teacher_ce,0.05,0.003,1,0.0022711195051670074,0.002266725292429328,0.0022274130140431227,0.0023113914881832897,0.0023203976452350616,0.002212628722190857,32,0.7570398250145417,0.755575090908724,0.7424709605520743,0.7704638496135626,0.7734659350506458,0.7375428437451178,32,0.7570398250145417,0.755575090908724,0.7424709605520743,0.7704638496135626,0.7734659350506458,0.7375428437451178,32.0
hard_a0.05,hard_teacher_ce,0.05,0.003,2,0.0019855807076964993,0.0019853608682751656,0.0019345999404322355,0.0020295254536904393,0.0020474004559218884,0.0019281499553471804,32,0.6618602271686764,0.661786950339242,0.6448666462256877,0.6765085075490376,0.6824668127083932,0.642716546432942,32,0.8742628929592833,0.8745972300012982,0.8633370172773259,0.8855621907594351,0.8860059706413074,0.8591866998154762,32.0
hard_a0.05,hard_teacher_ce,0.05,0.003,3,0.000246449133896931,0.00017384272359777242,6.619335545110516e-05,0.0005863231373950838,0.0010111869778484106,5.9091264120070264e-05,32,0.08214971032957398,0.05794757625860422,0.022064449912816572,0.19544104300155152,0.33706232301960853,0.019697087868809558,32,0.12347630146051083,0.0884984728071468,0.03407626182837909,0.2912977182982541,0.49884541175221975,0.03035978989550729,32.0
hard_a0.05,hard_teacher_ce,0.05,0.003,4,0.00024858741130628914,0.00017546741582918912,7.016809067863505e-05,0.0005869506218004972,0.0010113384341821074,6.362424028338864e-05,32,0.08286246945296712,0.05848914035015282,0.023389361540983273,0.195650204462331,0.3371128084637353,0.021208079910114953,32,1.0188267543445502,1.0100183709666923,1.0010788009801075,1.068988191697777,1.0767114434057057,1.0001497807398778,32.0
hard_a0.05,hard_teacher_ce,0.05,0.003,5,0.00024825610285006405,0.00017529120668768883,6.902597160660662e-05,0.0005867172323632985,0.0010109228314831853,6.25834145466797e-05,32,0.08275203330485663,0.05843040396889894,0.02300865521649639,0.1955724079862234,0.33697427423196546,0.02086113800089438,32,0.997086546149043,0.9990200426110959,0.9872877636584617,1.0009694892537468,1.0030236712431289,0.9709347541437948,32.0
hard_a0.05,hard_teacher_ce,0.05,0.003,6,0.0002523543616916868,0.00017853755707619712,7.658800204808358e-05,0.0005882302415557205,0.0010114861652255058,7.067548722261563e-05,32,0.084118119560191,0.0595125207949849,0.025529331812781206,0.19607674435874292,0.33716205214444006,0.023558495536093328,32,1.0334803282847533,1.019398318888498,1.0024295182962428,1.1096090377195504,1.1293005940080212,1.0005572470269506,32.0
hard_a0.05,hard_teacher_ce,0.05,0.003,7,0.0002540319346735487,0.00017982693680096418,7.897160103311762e-05,0.0005889464722713455,0.001011815620586276,7.326041668420658e-05,32,0.0846773105451884,0.05994231404863254,0.026323864739222328,0.19631548792301873,0.33727187059707553,0.024420138682467278,32,1.0124209159513518,1.0078043123830223,1.0010513230613056,1.038583510269599,1.0410059909919305,1.000325714154179,32.0
hard_a0.05,hard_teacher_ce,0.05,0.003,8,0.00025648844280112826,0.00018123052723240107,8.354042438440956e-05,0.0005899846408283338,0.0010121806990355253,7.702012226218358e-05,32,0.08549614656739477,0.06041017753353291,0.027846805724885938,0.19666154409313963,0.3373935634124342,0.025673373864232726,32,1.0183999698248978,1.0081929531192633,1.0015175111514574,1.0686343393395459,1.0706001427635194,1.0003608151938173,32.0
hard_a0.05,hard_teacher_ce,0.05,0.003,9,0.00025746499500201026,0.00018218169861938804,8.304772636620328e-05,0.0005908759892918169,0.0010127355344593525,7.910720159998164e-05,32,0.0858216639673248,0.06072723467668578,0.02768257306632421,0.19695866023902223,0.3375785085521023,0.026369066970784876,32,1.0061338861147715,1.0047289600082525,0.9997947303425707,1.023503310740203,1.0270978450370858,0.969340842140972,32.0
hard_a0.05,hard_teacher_ce,0.05,0.003,10,0.00026131110575988714,0.0001849974796641618,8.871012942108791e-05,0.0005930674466071651,0.0010136842029169202,8.52538287290372e-05,32,0.08710370086736675,0.061665828385880556,0.02957004058839248,0.19768914599839169,0.3378947313685428,0.028417942662660532,32,1.025895807475306,1.016516804364211,1.0034584723210185,1.0748537125686513,1.0776999692156597,1.000936738590963,32.0
hard_a0.05,hard_teacher_ce,0.05,0.003,11,0.00026729180922302476,0.00019358890131115913,9.731031750561669e-05,0.0005948729842202737,0.001013118657283485,9.37570512178354e-05,32,0.08909726865538471,0.06452963320947261,0.03243676970249601,0.19829099186092836,0.33770621615903634,0.03125235013428895,32,1.0379961869867933,1.0247680988247176,1.0030471586283398,1.1043574982142002,1.112459481740168,0.9994420889347907,32.0
hard_a0.05,hard_teacher_ce,0.05,0.003,12,0.00028193800289955107,0.0002071568014798686,0.00011932471934414935,0.0005998197157168761,0.0010140208760276437,0.00011468516458990052,32,0.09397933313440604,0.06905226929864128,0.03977490301537388,0.1999399023156082,0.3380069557378085,0.03822838786433921,32,1.0846195417728417,1.0672990735737422,1.0083485693080025,1.2077791981894122,1.2547448581059473,1.000890536106183,32.0
hard_a0.05,hard_teacher_ce,0.05,0.003,13,0.0002844532616563811,0.00021070609363960102,0.00011948108003707602,0.000601196350180544,0.00101362238638103,0.00011645741324173287,32,0.09481775271691459,0.07023536675212178,0.039827023241851334,0.20039878046876503,0.3378741258567586,0.03881913740981499,32,1.012257013536353,1.006612583920104,1.000015928045291,1.0347001598131942,1.071071348862848,0.9913729371456164,32.0
hard_a0.05,hard_teacher_ce,0.05,0.003,14,0.0002877878298477299,0.00021660215134033933,0.00012172092938271817,0.0006031917262589559,0.0010139269288629293,0.00012028292985633016,32,0.09592927544600566,0.07220071648585298,0.04057363962596381,0.20106390581527508,0.33797564001650926,0.04009430960359652,32,1.0164947494589656,1.0121325938461498,1.0024108196911072,1.043662016284414,1.057636075504962,1.0003004496408041,32.0
hard_a0.05,hard_teacher_ce,0.05,0.003,15,0.00028488366774581664,0.0002219003508798778,0.00012139924765506294,0.0006045508838724345,0.001014330075122416,0.0001177493977593258,32,0.09496122144315314,0.07396678569759244,0.040466413778544215,0.20151695833157932,0.3381100221018367,0.039249795865750794,32,0.9905114192778768,1.0006083298540025,0.9225841716869726,1.029044857416007,1.0498867838245056,0.8639548252169973,32.0
hard_a0.05,hard_teacher_ce,0.05,0.003,16,0.00029107215459589497,0.00023401003272738308,0.00012923420290462674,0.0006076676829252391,0.0010127270361408591,0.00012383240391500294,32,0.09702405037098968,0.07800334640256829,0.043078065397115596,0.20255589133412635,0.3375756757792958,0.04127746440931686,32,1.031521157702372,1.025558409206261,1.0041423833154448,1.0706648786628776,1.0810732611346645,0.9984196081523429,32.0
